Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,-35876109830,-39280825289,-45849692767,-50567215101,-47922933506,-44744392499,-42991317994,-28191895873,-34295148642,-49390148480,-60422803955,-66978434378,-74808561932,-74849665112,-64865434126
994--Estimated Low Value Shipments,623484621,678119775,695549518,741823127,944869594,1108320259,1270847697,1010225443,1535328229,1141837603,1094869804,1061840204,1096943222,1115401191,1110454100
992--EXPORTS NOT OVER $10;000(TO 3/98) $20;000(4/98)NIK,15113368,8010114,4729046,4994816,3002118,2235615,888789,0,0,0,0,0,0,0,0
984--Estimate Of Low Valued Import Transactions,-1172025052,-1312534635,-1487019545,-1633399445,-1718387557,-1827305897,-1910014121,-1382495729,-943830629,-1060704872,-982543139,-966186434,-1403556177,-1402435613,-1382227006
971--Gold; Nonmonetary,17811824,27014109,14962071,129760760,166616887,233025975,289103793,115709526,301993558,271600143,242058414,456799215,217264765,65091374,90565147
961--Coin (Other Than Gold Coin),-675561,470266,192494,-1158537,-574805,6200043,1895930,1237410,28251038,37069137,4279285,3170373,4217669,8422687,1241890
950--Coin Including Gold,-3312943,-1832868,-2545194,4486353,-346127,32737131,54140460,69793264,149104502,339624587,421797042,488115394,325639035,314304806,170609455
931--Special Transactions Not Classified By Kind,-1612037116,-1271680109,-1331739173,-1384896741,-1694989366,-1824470423,-1470971379,-1371900700,-1496044732,-1824636582,-2172647241,-2389809787,-2681292974,-3093719507,-3543573144
899--Miscellaneous Manufactured Articles,-51441668,-131032982,-240709470,-251755953,-169939254,-151376557,-136111820,-104597568,-75287816,-53378423,102129258,122729542,128950832,148213982,70061892
898--Musical Instruments And Accessories,-37716088,-39139539,-6598071,-20536369,34821672,37553426,41754204,65871967,67633392,39376659,34381199,28723789,15761840,20809728,36083062
897--Jewelry; Goldsmiths' & Silversmiths' Wares,-13315701,-2378113,-7093623,12805990,1343700,13292473,22316804,23602366,15185255,15880366,44967878,68871554,46435368,29068878,93602018
896--Works Of Art; Collectors' Pieces And Antiques,-148669073,-170115816,-225763335,-134735023,-281940467,-330244220,-255414236,-117779886,-223767379,-94166576,-525766793,-494557714,-602713737,-515678053,-394362629
895--Office And Stationery Supplies,-45885419,-63353348,-52493820,-61758356,-64268299,-53038227,-38436293,-32603330,-40510793,-52269165,-54619654,-55909491,-60041629,-51795652,-67276440
894--Toys And Sporting Goods,-57038650,-69764678,-50703245,-52247416,-62006657,-34960351,-62510739,-20735613,-5785261,-30774155,-12495655,-4045003,-1525530,-12914620,-27579192
893--Articles Of Plastics,-118445718,-201470499,-203343108,-212259558,-189248603,-203034419,-214226053,-145332143,-191566814,-215130316,-201855720,-282452590,-316665120,-304971022,-340146376
892--Printed Matter,-35364888,-28194650,-42944274,-42293096,-58853902,-11859358,-70736931,-31452404,-54971849,-53440137,-55084328,-61569526,-48818151,-47000541,-41563372
891--Arms And Ammunition,-21752529,-112955212,-67184023,-77767350,-95598335,-133863409,-175615164,-233184813,-174845465,-292821066,-304860318,-443398420,-159548364,-118804454,-143641427
885--Watches And Clocks,-38730338,-32831413,-36577434,-37016301,-32235985,-32238389,-31886149,-15248361,-13434987,-23164608,-18700993,-25971937,-32181174,-23429407,-18061747
884--Optical Goods,19820314,4620150,4375030,111104110,76554555,76121926,94556310,82256176,45523608,1725922,-56140933,-47712746,-95976555,-43582622,-15733480
883--Cinema Film; Including Sound Track,438117,293925,159584,-12381,235162,-71223,34194,-425901,222572,-1811671,30897,-95417,-100614,24908,11235
882--Photographic And Cinematographic Supplies,17027592,11206443,32077639,-28033295,-18433220,-30413426,-46570612,54266056,63638109,62556309,54055154,19778927,10764541,2227354,-25955594
881--Photographic Apparatus And Equipment,-27341258,-43569695,-29279541,-24534200,-9365186,31804157,62457215,53438335,59396724,48553795,70818437,45419521,74098075,42053803,38412179
874--Measuring/Checking/Analysing Instuments,-327415013,-424823206,-476721379,-462664279,-551513399,-653035088,-626267659,-302450482,-543170349,-1120009030,-1530970823,-1435668748,-1607608575,-1379935026,-1083514862
873--Meters And Counters,-36132359,-38792652,-60982427,-73346406,-59509916,-59812644,-22925549,-44838708,-23556239,-45471553,-90442179,-91575889,-79761252,-61368044,-44543833
872--Medical Instruments & Appliances,-105101713,-236319289,-303854193,-251084320,-204344513,-242614833,-333925400,-356583164,-411597500,-550143210,-361387235,-330231117,-462174662,-378112681,-413328491
