Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,26629618780,28831866553,31415881557,34183656274,41159115809,49419703142,54505255730,43306258441,48155263220,49294189419,48802968878,47363465586,49370318203,49970804114,49361987827
781--All Motor Vehicles,2789823370,3940518217,4027915115,3712866628,5206854074,7189999712,8523775790,4725007001,4082636436,5665015198,6205480960,5011608963,5633690927,6150182843,6655552033
792--Aircraft & Associated Equipment,1558348539,1394305702,2784394254,3637591963,4258698810,5231553914,5597553417,5432310563,5356708908,5628391438,5647428707,5805339082,6530184432,6702710229,5984394349
874--Measuring/Checking/Analysing Instuments,1228178665,1288868805,1639788364,1781349340,1919333940,2173405982,2171812167,1852543800,2105697342,2226113105,2068437393,2116869314,2120313546,2142716222,2238212026
541--Medicinal Products; Except Medicaments,450761758,821656966,1664397398,1457232927,1912588258,3749950602,4914400567,5826456744,4761718243,1700547358,1608120950,1467995829,1540990081,1791684222,1813651940
598--Miscellaneous Chemical Products,559674050,779858161,982328302,1057926443,1072032313,1235824881,1356347865,1051938615,1288898274,1475395543,1439598377,1569444121,1599346703,1636407885,1596753140
872--Medical Instruments & Appliances,571242740,611718865,726923485,905513582,1093278894,1242185622,1282394413,1033769301,1128897826,1184758010,1292527506,1442608718,1382715364,1414179462,1377882406
764--Telecommunications Equipment,807381318,767743887,762932592,834922281,974074012,1169674306,1219633174,985972538,982120801,1073900867,1099855067,1043773405,1158454557,1342419063,1293133323
994--Estimated Low Value Shipments,623484621,678119775,695549518,741823127,944869594,1108320259,1270847697,1010225443,1535328229,1141837603,1094869804,1061840204,1096943222,1115401191,1110454100
542--Medicaments (Including Veterinary Medicaments),219954928,313945205,300137422,390993986,563135804,535114515,685556187,833052866,1110831750,952932671,1045612571,812723784,954742796,770367731,1087443617
772--Electrical Apparatus For Switching Or Protecting,416851610,453982963,499890388,439239684,484064165,541695867,578579115,403488458,570343360,686950073,690720389,761291348,850617958,860863725,926160540
774--Electro-Diagnostic Apparatus,867821367,1000264708,826868130,827122331,1035036307,1149002965,1161990141,1120615049,1123945233,1113330307,1099455323,950485785,987705505,954931117,922241973
899--Miscellaneous Manufactured Articles,187476485,195553615,212212928,228632962,282004987,322596399,345895503,466185067,536783863,693372068,758990696,832444539,926667194,924003351,901296660
752--Automatic Data Process Machines,965692391,1016679112,1091817357,1089742017,1156665018,1064484401,872201679,757928772,691121432,740306598,786418820,711583876,809656046,758266928,826675809
776--Thermionic; Cold Cathode and Photocathode Valves,1589101098,1546768228,1381024388,1525294049,2147869714,2079767746,1896028496,1289976526,1530717468,1128768005,817215681,771012478,840761800,722942139,820567916
728--Machinery Specialized For Particular Industries,496189536,402024978,538893370,688853217,688886395,1010537297,837351591,520972678,1051468314,1096200999,852255006,796057744,773896367,818494497,782839321
784--Parts And Accessories Of Motor Vehicles,637490584,617719390,793336457,847047930,971930101,889649015,906552516,698542558,774228227,756147970,739611736,713125732,683140012,688476486,709188135
896--Works Of Art; Collectors' Pieces And Antiques,163912077,177929362,218820724,318565804,353925254,338849761,400671026,315354773,255781634,369784899,364447227,358562702,527090491,563663600,638725478
664--Glass,141188904,200056003,227651927,245476115,309725403,382410017,389391944,280585814,409225430,497445503,457134975,482282361,514158625,593058765,615745696
