Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,62505728610,68112691842,77265574324,84750871375,89082049315,94164095641,97496573724,71498154314,82450411862,98684337899,109225772833,114341899964,124178880135,124820469226,114227421953
984--Estimate Of Low Valued Import Transactions,1172025052,1312534635,1487019545,1633399445,1718387557,1827305897,1910014121,1382495729,943830629,1060704872,982543139,966186434,1403556177,1402435613,1382227006
971--Gold; Nonmonetary,5417166,5270072,5038658,4127352,3846885,5303738,3853461,7372454,26252137,43531908,27830644,42127104,53099560,40891768,36332610
961--Coin (Other Than Gold Coin),1231680,344227,596590,1345003,2632247,282993,823703,328492,858207,2758605,1133242,1539431,1368162,2085681,2093535
950--Coin Including Gold,4085283,2848896,6847008,3538467,6682231,8056278,6032522,7878032,11322779,15350173,9136777,10880078,11440045,15097232,28241664
931--Special Transactions Not Classified By Kind,2001450052,1609908761,1604539499,1622291442,1981827628,2097938027,1802480550,1734366744,1866040792,2131480522,2468433301,2691260677,3032221521,3513211758,4028276194
899--Miscellaneous Manufactured Articles,238918153,326586597,452922398,480388915,451944241,473972956,482007323,570782635,612071679,746750491,656861438,709714997,797716362,775789369,831234768
898--Musical Instruments And Accessories,210376422,209574607,192706577,221486937,188396291,213476405,207437121,152187605,143326175,167617950,171876340,168760136,178251892,177463345,172454353
897--Jewelry; Goldsmiths' & Silversmiths' Wares,50562176,47604153,57002963,54600642,54866478,50380275,43148030,33124647,41917648,48497783,49222641,57945147,58666323,62782516,58666628
896--Works Of Art; Collectors' Pieces And Antiques,312581150,348045178,444584059,453300827,635865721,669093981,656085262,433134659,479549013,463951475,890214020,853120416,1129804228,1079341653,1033088107
895--Office And Stationery Supplies,64993214,83109303,76986516,86861291,87268164,81796856,63478274,45324042,55772675,63305533,66907396,69997561,73550966,68174604,81590479
894--Toys And Sporting Goods,164983920,172065010,160537828,141754477,147705221,145649374,175035644,135938476,124720474,155070927,144523797,148850279,146703774,158047968,161995589
893--Articles Of Plastics,268963570,332068290,349399083,373797816,393336562,421691334,424583907,335044073,395522259,457811970,468677355,536747856,595194855,601721731,637675201
892--Printed Matter,132895502,132077455,143567576,168290903,191438684,224405414,250903685,166871953,172924377,154688511,150562512,172071905,152341699,145099294,141601046
891--Arms And Ammunition,145882890,196502680,208773102,243981874,233852605,252957038,320145825,349808942,372313860,415560129,424270496,533517008,348606118,245051065,284237372
885--Watches And Clocks,48332777,46436601,53392786,53004203,50416792,54974791,55830941,33651048,34617795,42848881,47329484,51748550,62639322,57838215,51939802
884--Optical Goods,98822131,83196755,110848519,116854971,148087179,161251787,167231006,135162750,194019545,229255512,294840183,306440573,353200539,311045845,325025674
883--Cinema Film; Including Sound Track,115979,75035,186627,330788,90589,263734,694305,664754,80954,2121079,173450,151921,180044,0,0
882--Photographic And Cinematographic Supplies,99381271,105913041,112104647,93339372,89395785,123009779,129523261,97047866,105737036,86595751,80141319,93507730,94726655,109229343,143706595
881--Photographic Apparatus And Equipment,100602185,99280770,109432864,103704390,82727129,73264243,67849425,43055473,58585609,65541387,44693083,57066637,44079727,48296780,38929633
874--Measuring/Checking/Analysing Instuments,1555593678,1713692011,2116509743,2244013619,2470847339,2826441070,2798079826,2154994282,2648867691,3346122135,3599408216,3552538062,3727922121,3522651248,3321726888
873--Meters And Counters,55707869,55364919,74427957,88795927,75878670,79879543,42034752,56036120,35000245,55023760,101459305,105278763,93210470,80077588,59692360
872--Medical Instruments & Appliances,676344453,848038154,1030777678,1156597902,1297623407,1484800455,1616319813,1390352465,1540495326,1734901220,1653914741,1772839835,1844890026,1792292143,1791210897
871--Optical Instruments And Apparatus,250426154,259716789,307724260,329676990,342942346,394903226,398578626,318783374,408403204,464037039,469082587,506170628,525703144,538736480,563909231
851--Footwear,94638874,95380384,82135622,81242729,61798484,70909498,58418993,43355600,48258210,56852360,48909401,54549340,91780293,77980809,115589210
848--Apparel & Accessories Except Textile; Headgear,8929535,10062434,10930956,9579675,8901719,6889801,6820618,6004979,8186229,13793037,11621930,11052291,13708637,11632149,13632388
846--Clothing Accessories,9343043,12567112,13562307,15731544,15426260,15176589,16486861,15537618,15599007,16808348,15989647,16230075,14904134,14958516,13680186
845--Articles Of Apparel Of Textile Fabrics,7395409,7075803,5043243,5238835,3953906,4111026,3448296,3967567,3477935,3845904,3458118,3665304,6616203,4538671,4081948
844--Women's Or Girls' Coats; Capes; Knit,2359347,2236114,1613488,1515050,1410361,1647205,1551521,975749,886725,964942,736183,779547,3625758,1002195,1677114
843--Men's Or Boys' Coats; Jackets; Knitted,258800,244554,247004,166041,143599,253085,240518,155733,200753,308813,234842,193081,343355,397581,402601
842--Women/Girls Coats; Not Knit,22354661,25268080,23328240,23533247,18559803,16699192,13914102,7729342,8046851,8536357,7530270,6958640,11544287,6773651,6960610
841--Men's Or Boy's Coats; Jackets Etc; Not Knit,7219817,7139395,7664163,6497569,3192099,3914309,2698217,1467493,1472951,2021724,2174226,2071943,2150954,2291376,3388661
831--Trunks; Suitcases; Vanity Cases; and Briefcases,8978370,8522523,9537200,10141638,11845645,12552933,14125123,12181186,12556926,17361159,16532538,19462527,21060923,15756737,17936494
821--Furniture & Bedding Accessories,238856156,289970051,330201698,341789952,378263077,454895548,415461026,283531706,322996430,384973944,374167250,429569875,508346945,564722751,510955219
813--Lighting Fixtures And Fittings,57853030,61350801,79136147,89570825,95657298,115292755,123000234,95859865,109643138,133260700,130102864,147569894,170279404,165392844,175733363
812--Sanitary; Plumbing & Heating Fixtures,19548873,27259759,37927673,47443190,52700692,57869374,71010562,58922259,59751356,73934424,65470172,69322594,80325140,88674339,58883585
811--Prefabricated Buildings,6344493,3956528,5355023,9040853,8118350,6522179,7032760,2370102,2715485,2759120,5068699,6722514,5249926,7970749,10314525
793--Ships; Boats And Floatng Structures,7426408,12985192,17003837,8822495,9825080,19217695,11824336,8779992,7602966,17768713,16193939,13572946,17235481,189250468,39946702
792--Aircraft & Associated Equipment,1660549865,1097689953,1217519943,1835057375,1361347685,1019526457,1228671305,1791512709,880926987,1561903642,1515921853,2898949640,3971594355,4468373914,2938053881
791--Railway Vehicles & Associated Equipment,139891502,105937892,37411126,40014272,81408018,30673194,48108595,65204806,254401801,241041476,387566022,65614106,64152980,52311436,50759995
786--Trailers & Semi-Trailers,25811857,15223565,19646688,24455681,26171235,63720031,63287411,84116743,38022549,96266206,79150098,80204812,75773230,72886078,55920988
785--Motorcycles And Cycles; Motorized & Not Motorized,132709586,191343022,177443123,167849565,185718924,191354812,195233698,126893740,122483760,168265551,189659242,212852220,180553496,259753691,208791727
784--Parts And Accessories Of Motor Vehicles,1735114616,2288127861,2755329395,3171211050,3186669512,3661445521,3258577122,2255451032,3121983202,4100721511,4781657328,5126233953,5622874477,5849171776,5270140334
783--Road Motor Vehicles,1002021,30668922,88426955,64021381,92897838,86514494,69362990,43153891,22902779,41246555,21490004,42369124,26527024,13715158,23872009
782--Special Purpose Motor Vehicles,147138085,86840880,115425028,231991634,219181948,400374974,531854721,418644412,247553784,389214215,480446873,641684036,746634274,603454614,521191811
